                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.57371,                 1.3892,                 1.7426,                0.82807,                0.71882,                0.84574,                0.75765,                0.45986,                 1.5051,                 1.4663,              0.0003069,              0.0003069,              0.0003069
                    112,                0.56942,                 1.3231,                 1.7037,                0.73494,                0.81479,                0.83144,                0.73377,                0.47173,                 1.3759,                 1.4755,             0.00029959,             0.00029959,             0.00029959
                    113,                0.54436,                 1.3262,                 1.6786,                 0.8106,                0.74914,                0.85412,                0.75454,                0.45371,                 1.3866,                 1.5023,             0.00029228,             0.00029228,             0.00029228
                    114,                0.57372,                 1.3222,                 1.7039,                0.76921,                0.63732,                0.80966,                0.71889,                0.43259,                 1.4785,                  1.472,             0.00028497,             0.00028497,             0.00028497
                    115,                  0.576,                 1.3465,                 1.6927,                 0.8064,                0.73438,                0.84064,                0.73119,                 0.4246,                 1.2422,                 1.4488,             0.00027766,             0.00027766,             0.00027766
                    116,                0.55349,                 1.3043,                 1.7081,                0.80006,                0.77724,                0.84308,                0.74411,                0.40937,                 1.3547,                 1.4389,             0.00027035,             0.00027035,             0.00027035
                    117,                0.52837,                 1.2679,                 1.6746,                 0.8051,                0.76261,                0.83317,                0.74092,                0.43253,                 1.5062,                 1.4141,             0.00026304,             0.00026304,             0.00026304
                    118,                 0.5349,                 1.3205,                 1.6603,                 0.8071,                0.74449,                0.82347,                0.72444,                0.44909,                 1.9436,                 1.4671,             0.00025573,             0.00025573,             0.00025573
                    119,                0.58594,                 1.3135,                 1.7157,                0.80457,                0.68645,                0.82775,                0.73527,                0.46809,                 1.4041,                 1.4693,             0.00024842,             0.00024842,             0.00024842
                    120,                0.57807,                 1.3933,                 1.6918,                0.79766,                0.76366,                0.84703,                0.75608,                0.42251,                 1.3235,                 1.4421,             0.00024111,             0.00024111,             0.00024111
                    121,                0.55943,                 1.2833,                 1.6918,                0.73018,                0.71248,                 0.7948,                0.70807,                0.43587,                 1.7071,                 1.4493,              0.0002338,              0.0002338,              0.0002338
                    122,                0.54843,                 1.2357,                 1.6538,                0.72443,                0.70602,                 0.7986,                0.72422,                0.44996,                 1.9244,                  1.467,             0.00022649,             0.00022649,             0.00022649
                    123,                 0.5101,                 1.2187,                 1.6416,                0.81789,                0.72877,                0.84441,                0.75863,                0.42105,                 1.3842,                  1.426,             0.00021918,             0.00021918,             0.00021918
                    124,                0.62276,                 1.3379,                 1.7803,                0.66713,                0.85349,                0.82187,                0.73873,                0.42599,                 1.5222,                 1.4244,             0.00021187,             0.00021187,             0.00021187
                    125,                0.53368,                 1.2909,                 1.6525,                0.75274,                0.75753,                0.80812,                0.72768,                0.40942,                 1.6451,                 1.4298,             0.00020456,             0.00020456,             0.00020456
                    126,                0.54094,                 1.2851,                 1.6893,                0.76904,                0.78359,                0.83687,                0.76324,                0.40453,                 1.4794,                 1.4391,             0.00019725,             0.00019725,             0.00019725
                    127,                0.54559,                 1.2409,                 1.6659,                0.68835,                0.86317,                0.82157,                0.73306,                0.43129,                 1.3465,                  1.428,             0.00018994,             0.00018994,             0.00018994
                    128,                0.54667,                 1.2661,                 1.6867,                0.71535,                0.86667,                0.83309,                 0.7439,                 0.4304,                 1.2745,                 1.4503,             0.00018263,             0.00018263,             0.00018263
