                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.76049,                 1.0831,                 1.3045,                0.70211,                0.82493,                0.85389,                0.74956,                0.56385,                0.92466,                  1.171,             0.00071137,             0.00071137,             0.00071137
                    111,                0.69836,                 1.0779,                 1.2378,                0.64606,                  0.696,                0.77812,                0.69526,                0.56646,                 1.1908,                 1.1458,             0.00070771,             0.00070771,             0.00070771
                    112,                0.69293,                 1.0465,                  1.277,                 0.7656,                0.76899,                0.82486,                0.72907,                0.58373,                 1.0376,                 1.1562,             0.00070404,             0.00070404,             0.00070404
                    113,                0.69777,                 1.0136,                 1.2441,                0.76176,                0.76941,                0.83421,                0.74534,                0.53429,                0.89535,                 1.1337,             0.00070037,             0.00070037,             0.00070037
                    114,                0.71195,                0.99573,                 1.2605,                0.82869,                0.72437,                0.79042,                0.68974,                0.58926,                 1.0565,                 1.1894,             0.00069671,             0.00069671,             0.00069671
                    115,                0.69693,                0.99358,                 1.2651,                0.69878,                0.74061,                 0.8513,                0.73624,                0.63729,                 1.0261,                 1.2505,             0.00069304,             0.00069304,             0.00069304
                    116,                0.72443,                0.99586,                 1.2704,                0.78959,                0.73998,                0.87156,                0.78148,                0.56959,                 0.9477,                 1.2049,             0.00068938,             0.00068938,             0.00068938
                    117,                0.67269,                0.94912,                 1.2132,                0.56716,                0.58941,                0.62352,                0.52228,                0.60577,                  1.697,                 1.2049,             0.00068571,             0.00068571,             0.00068571
                    118,                0.67439,                0.98187,                 1.2418,                0.59824,                0.74665,                  0.749,                0.64416,                0.59338,                  1.294,                 1.2355,             0.00068204,             0.00068204,             0.00068204
                    119,                0.68922,                0.98339,                 1.2476,                0.69226,                0.79331,                0.78608,                0.67923,                0.56843,                 1.1589,                  1.193,             0.00067838,             0.00067838,             0.00067838
                    120,                0.68646,                0.97164,                 1.2251,                0.73101,                0.83525,                0.86724,                0.75723,                0.56159,                0.93919,                  1.144,             0.00067471,             0.00067471,             0.00067471
                    121,                 0.6886,                0.97016,                 1.2329,                0.79604,                 0.8357,                0.84786,                0.75174,                0.55466,                0.91604,                 1.1486,             0.00067104,             0.00067104,             0.00067104
                    122,                0.70121,                0.97332,                 1.2468,                0.80985,                 0.7839,                0.83816,                 0.7453,                0.53825,                0.87277,                 1.1516,             0.00066738,             0.00066738,             0.00066738
                    123,                0.67622,                0.94599,                 1.2226,                0.74216,                0.80504,                0.84874,                0.74562,                0.58427,                0.95946,                 1.2351,             0.00066371,             0.00066371,             0.00066371
                    124,                0.67815,                0.96814,                  1.237,                0.76594,                0.82659,                0.81821,                0.70865,                0.63003,                 1.0256,                 1.2551,             0.00066005,             0.00066005,             0.00066005
                    125,                0.66322,                0.95644,                 1.2206,                0.75633,                0.82113,                0.86207,                0.75419,                0.57694,                0.97633,                 1.2125,             0.00065638,             0.00065638,             0.00065638
                    126,                0.67983,                0.94482,                 1.2046,                 0.7751,                0.77674,                 0.8326,                0.73315,                0.56778,                0.95888,                  1.178,             0.00065271,             0.00065271,             0.00065271
                    127,                0.70471,                0.94846,                 1.2155,                0.60016,                0.82005,                0.72188,                0.61868,                0.58225,                 1.1111,                 1.2092,             0.00064905,             0.00064905,             0.00064905
                    128,                0.69988,                 0.9845,                 1.2553,                0.69913,                0.81754,                0.82233,                0.71057,                0.62276,                0.94831,                 1.2517,             0.00064538,             0.00064538,             0.00064538
                    129,                0.69322,                0.98221,                 1.2264,                 0.7143,                0.84702,                0.79869,                0.70779,                0.51916,                0.90588,                 1.1774,             0.00064171,             0.00064171,             0.00064171
